Time,Login,Deposit,Closed P/L,Balance,Credit,Floating P/L,Equity,Used Margin,Free Margin
2023.06.29,126027,0,0,32829.86,500,-10785.82,22544.04,3280,19264.04
2023.06.29,126028,0,-102.64,92.15,0,0,92.15,0,92.15
2023.06.29,126029,0,0,0,0,0,0,0,0
2023.06.29,126031,0,0,0,0,0,0,0,0
2023.06.29,126032,0,0,6865.52,500,-2236.08,5129.44,680,4449.44
2023.06.29,126033,0,0,0,0,0,0,0,0
2023.06.29,126034,0,0,0,0,0,0,0,0
2023.06.29,126035,0,0,0,0,0,0,0,0
2023.06.29,126036,0,0,2109.53,0,-657.68,1451.85,200,1251.85
2023.06.29,126037,0,0,0,0,0,0,0,0
2023.06.29,126038,0,0,0,0,0,0,0,0
2023.06.29,126039,0,-67,922.67,0,-50.2,872.47,114.44,758.03
2023.06.29,126040,0,0,0,0,0,0,0,0
2023.06.29,126041,0,0,0,0,0,0,0,0
2023.06.29,126042,0,0,0.48,0,0,0.48,0,0.48
2023.06.29,126043,0,0,0,0,0,0,0,0
2023.06.29,126044,0,0,0,0,0,0,0,0
2023.06.29,126045,0,0,0,0,0,0,0,0
2023.06.29,126046,0,0,0,0,0,0,0,0
2023.06.29,126047,0,0,0,0,0,0,0,0
2023.06.29,126048,0,0,0,0,0,0,0,0
2023.06.29,126049,0,0,0,0,0,0,0,0
2023.06.29,126050,0,0,0.67,0,0,0.67,0,0.67
2023.06.29,126051,0,0,0,0,0,0,0,0
2023.06.29,126052,0,0,0,0,0,0,0,0
2023.06.29,126053,0,0,0,0,0,0,0,0
2023.06.29,126054,0,0,0.99,0,0,0.99,0,0.99
2023.06.29,126055,0,0,0,0,0,0,0,0
2023.06.29,126097,0,0,0,0,0,0,0,0
2023.06.29,126098,0,0,0,0,0,0,0,0
2023.06.29,126099,0,0,3.29,0,0,3.29,0,3.29
2023.06.29,126100,0,0,0,0,0,0,0,0
2023.06.29,126101,0,0,0,0,0,0,0,0
2023.06.29,126102,0,0,0,0,0,0,0,0
2023.06.29,126103,0,0,5.84,0,0,5.84,0,5.84
2023.06.29,126104,0,0,2.05,0,0,2.05,0,2.05
2023.06.29,126105,0,0,1.59,0,0,1.59,0,1.59
2023.06.29,126106,0,0,0,0,0,0,0,0
2023.06.29,126107,0,0,5.65,0,0,5.65,0,5.65
2023.06.29,126108,0,0,0,0,0,0,0,0
2023.06.29,126109,0,0,176.81,0,-7.17,169.64,4.37,165.27
2023.06.29,126110,0,0,1.13,0,0,1.13,0,1.13
2023.06.29,126111,0,0,0,0,0,0,0,0
2023.06.29,126112,0,0,0,0,0,0,0,0
2023.06.29,126113,0,0,0,0,0,0,0,0
2023.06.29,126114,0,0,0,0,0,0,0,0
2023.06.29,126115,0,0,0,0,0,0,0,0
2023.06.29,126116,0,0,39.02,0,0,39.02,0,39.02
2023.06.29,126117,0,0,10,0,0,10,0,10
2023.06.29,126118,0,0,0,0,0,0,0,0
2023.06.29,126119,0,0,0,0,0,0,0,0
2023.06.29,126126,0,0,0,0,0,0,0,0
2023.06.29,126127,0,0,10,0,0,10,0,10
2023.06.29,126128,0,0,500,0,0,500,0,500
2023.06.29,126129,0,0,1.08,0,0,1.08,0,1.08
2023.06.29,126133,0,0,0,0,0,0,0,0
2023.06.29,126134,0,0,7152.51,500,-2367.62,5284.89,720,4564.89
2023.06.29,126136,0,0,0.07,0,0,0.07,0,0.07
2023.06.29,126147,0,0,0,0,0,0,0,0
2023.06.29,126148,0,0,0,0,0,0,0,0
2023.06.29,126149,0,0,0,0,0,0,0,0
2023.06.29,126151,0,0,54.34,0,0,54.34,0,54.34
2023.06.29,126152,0,0,0,0,0,0,0,0
2023.06.29,126154,0,0,0,0,0,0,0,0
2023.06.29,126155,0,0,0,0,0,0,0,0
2023.06.29,126158,0,0,0,0,0,0,0,0
2023.06.29,126161,0,0,0,0,0,0,0,0
2023.06.29,126162,0,0,2.74,0,0,2.74,0,2.74
2023.06.29,126163,0,0,0,0,0,0,0,0
2023.06.29,126164,0,0,0,0,0,0,0,0
2023.06.29,126165,0,0,0,0,0,0,0,0
2023.06.29,126166,0,0,0,0,0,0,0,0
2023.06.29,126167,0,0,3.34,0,0,3.34,0,3.34
2023.06.29,126168,0,0,1.11,0,0,1.11,0,1.11
2023.06.29,133238,0,0,3.19,0,0,3.19,0,3.19
2023.06.29,134186,0,0,0,0,0,0,0,0
2023.06.29,134269,0,0,0,0,0,0,0,0
2023.06.29,135960,0,0,0,0,0,0,0,0
2023.06.29,140960,0,0,0,0,0,0,0,0
2023.06.29,143215,0,0,0,0,0,0,0,0
2023.06.29,146324,0,0,0,0,0,0,0,0
2023.06.29,155877,0,0,1.04,0,0,1.04,0,1.04
