Deal,Login,Open Time,Type,Symbol,Volume,Open Price,Close Time,Close Price,Commission,Taxes,Agent,Swap,Profit,Pips,Comment
528213,2378245,2023.06.29 03:55:36,buy,xauusd,0.05,1905.34,2023.06.29 08:17:47,1907.02,0,0,0,0,8.4,168,
528214,14629007,2023.06.29 03:59:27,buy,xauusd,0.02,1905.78,2023.06.29 05:19:40,1904.05,0,0,0,0,-3.46,-173,
528216,14630043,2023.06.29 04:05:01,buy,xauusd,0.04,1905.46,2023.06.29 05:02:21,1904.46,0,0,0,0,-4,-100,
528217,14629710,2023.06.29 04:06:31,buy,xauusd,0.1,1905.34,2023.06.29 20:16:54,1907.59,0,0,0,0,22.5,225,
528218,120088,2023.06.29 04:06:33,buy,xauusd,0.1,1905.34,2023.06.29 20:16:54,1907.6,0,0,0,0,22.6,226,
528219,14629710,2023.06.29 04:06:38,buy,xauusd,0.1,1905.34,2023.06.29 20:16:49,1907.59,0,0,0,0,22.5,225,
528220,120088,2023.06.29 04:06:39,buy,xauusd,0.1,1905.34,2023.06.29 20:16:49,1907.59,0,0,0,0,22.5,225,
528230,2249396,2023.06.29 04:54:21,buy,xauusd,0.03,1905.65,2023.06.29 11:14:31,1909.8,0,0,0,0,12.45,415,
528236,2377928,2023.06.29 05:06:34,buy,xauusd,0.25,1905.25,2023.06.29 07:35:59,1905.58,0,0,0,0,8.25,33,
528237,14629461,2023.06.29 05:07:05,buy,xauusd,0.07,1905.5,2023.06.29 08:23:14,1906.27,0,0,0,0,5.39,77,
528238,2249396,2023.06.29 05:24:08,buy,gbpjpy,0.03,182.393,2023.06.29 07:20:22,182.747,0,0,0,0,7.34,354,[sl]
528239,2257839,2023.06.29 05:14:19,buy,xauusd,0.03,1904.39,2023.06.29 05:38:15,1904.82,0,0,0,0,1.29,43,
528244,2313217,2023.06.29 05:19:04,buy,eurusd,0.1,1.0887,2023.06.29 06:01:15,1.08915,0,0,0,0,4.5,45,
528246,14629346,2023.06.29 05:38:40,buy,xauusd,0.2,1904.86,2023.06.29 07:52:31,1905.28,0,0,0,0,8.4,42,
528253,2370319,2023.06.29 05:55:32,buy,xauusd,0.03,1904.6,2023.06.29 08:31:27,1906.73,0,0,0,0,6.39,213,
528254,14629293,2023.06.29 05:56:07,buy,nzdjpy,0.01,87.884,2023.06.29 12:47:24,87.933,0,0,0,0,0.34,49,
528255,617021,2023.06.29 06:00:07,buy,xauusd,0.01,1904.5,2023.06.29 11:08:50,1909.62,0,0,0,0,5.12,512,
528257,2313217,2023.06.29 06:03:06,buy,eurusd,0.1,1.08946,2023.06.29 06:50:38,1.08978,0,0,0,0,3.2,32,
528266,2257839,2023.06.29 06:20:26,buy,xauusd,0.03,1904.12,2023.06.29 08:31:24,1906.63,0,0,0,0,7.53,251,
528273,2377928,2023.06.29 06:28:06,buy,xauusd,0.12,1903.07,2023.06.29 06:35:33,1903.64,0,0,0,0,6.84,57,
528274,626188,2023.06.29 06:28:10,buy,xauusd,0.03,1903.06,2023.06.29 06:33:11,1903.58,0,0,0,0,1.56,52,
528275,2257839,2023.06.29 06:28:47,buy,xauusd,0.01,1902.91,2023.06.29 08:31:54,1906.46,0,0,0,0,3.55,355,to #528364
528276,126020,2023.06.29 12:52:51,buy,xauusd,1.5,1898.01,2023.06.29 13:53:05,1898.53,0,0,0,0,78,52,
528277,126020,2023.06.29 12:42:37,buy,xauusd,1.5,1899,2023.06.29 14:00:10,1899.48,0,0,0,0,72,48,
528278,126020,2023.06.29 12:36:21,buy,xauusd,1.5,1899.92,2023.06.29 14:04:30,1900.03,0,0,0,0,16.5,11,
528279,14629293,2023.06.29 06:33:23,buy,audchf,0.03,0.59378,2023.06.29 06:42:18,0.59395,0,0,0,0,0.57,17,
528280,14629293,2023.06.29 06:33:38,buy,xauusd,0.03,1903.68,2023.06.29 06:42:12,1904.58,0,0,0,0,2.7,90,
528286,2377928,2023.06.29 06:42:41,buy,xauusd,0.12,1904.5,2023.06.29 07:19:23,1905.03,0,0,0,0,6.36,53,
528289,2313217,2023.06.29 06:46:47,buy,gbpjpy,0.01,182.632,2023.06.29 07:01:07,182.754,0,0,0,0,0.84,122,
528291,2377928,2023.06.29 06:49:41,buy,xauusd,0.47,1904.56,2023.06.29 07:19:12,1905.34,0,0,0,0,36.66,78,
528292,2313217,2023.06.29 06:51:05,buy,eurusd,0.1,1.08992,2023.06.29 07:01:15,1.09052,0,0,0,0,6,60,
528294,125574,2023.06.29 06:53:37,buy,gbpjpy,0.25,182.724,2023.06.29 17:32:14,182.72,0,0,0,0,-0.69,-4,
528295,2184337,2023.06.29 06:58:40,buy,xauusd,0.01,1904.66,2023.06.29 07:39:51,1905.79,0,0,0,0,1.13,113,
528296,14630043,2023.06.29 06:59:23,buy,nasusd,0.04,14995.6,2023.06.29 08:17:20,15009.7,0,0,0,0,5.64,141,
528297,2376847,2023.06.29 06:59:59,buy,xauusd,0.03,1904.41,2023.06.29 09:03:16,1905.89,0,0,0,0,4.44,148,eYpJ-36GakysMYUK3O3BcQ
528298,2313217,2023.06.29 07:00:29,buy,eurusd,0.1,1.09115,2023.06.29 07:19:56,1.0918,0,0,0,0,6.5,65,
528300,14629293,2023.06.29 07:01:03,buy,gbpusd,0.03,1.26385,2023.06.29 08:15:50,1.26489,0,0,0,0,3.12,104,
